alpha,beta,gamma,delta,feasible,path_length_m,energy_wh
0.2,0.1,0.1,0.05,True,220.0,618.54
0.2,0.1,0.1,0.1,True,220.0,618.54
0.2,0.1,0.1,0.2,True,220.0,618.54
0.2,0.1,0.2,0.05,True,220.0,618.54
0.2,0.1,0.2,0.1,True,220.0,618.54
0.2,0.1,0.2,0.2,True,220.0,618.54
0.2,0.1,0.3,0.05,True,220.0,618.54
0.2,0.1,0.3,0.1,True,220.0,618.54
0.2,0.1,0.3,0.2,True,220.0,618.54
0.2,0.3,0.1,0.05,True,220.0,618.54
0.2,0.3,0.1,0.1,True,220.0,618.54
0.2,0.3,0.1,0.2,True,220.0,618.54
0.2,0.3,0.2,0.05,True,220.0,618.54
0.2,0.3,0.2,0.1,True,220.0,618.54
0.2,0.3,0.2,0.2,True,220.0,618.54
0.2,0.3,0.3,0.05,True,220.0,618.54
0.2,0.3,0.3,0.1,True,220.0,618.54
0.2,0.3,0.3,0.2,True,220.0,618.54
0.2,0.5,0.1,0.05,True,220.0,618.54
0.2,0.5,0.1,0.1,True,220.0,618.54
0.2,0.5,0.1,0.2,True,220.0,618.54
0.2,0.5,0.2,0.05,True,220.0,618.54
0.2,0.5,0.2,0.1,True,220.0,618.54
0.2,0.5,0.2,0.2,True,220.0,618.54
0.2,0.5,0.3,0.05,True,220.0,618.54
0.2,0.5,0.3,0.1,True,220.0,618.54
0.2,0.5,0.3,0.2,True,220.0,618.54
0.4,0.1,0.1,0.05,True,220.0,618.54
0.4,0.1,0.1,0.1,True,220.0,618.54
0.4,0.1,0.1,0.2,True,220.0,618.54
0.4,0.1,0.2,0.05,True,220.0,618.54
0.4,0.1,0.2,0.1,True,220.0,618.54
0.4,0.1,0.2,0.2,True,220.0,618.54
0.4,0.1,0.3,0.05,True,220.0,618.54
0.4,0.1,0.3,0.1,True,220.0,618.54
0.4,0.1,0.3,0.2,True,220.0,618.54
0.4,0.3,0.1,0.05,True,220.0,618.54
0.4,0.3,0.1,0.1,True,220.0,618.54
0.4,0.3,0.1,0.2,True,220.0,618.54
0.4,0.3,0.2,0.05,True,220.0,618.54
0.4,0.3,0.2,0.1,True,220.0,618.54
0.4,0.3,0.2,0.2,True,220.0,618.54
0.4,0.3,0.3,0.05,True,220.0,618.54
0.4,0.3,0.3,0.1,True,220.0,618.54
0.4,0.3,0.3,0.2,True,220.0,618.54
0.4,0.5,0.1,0.05,True,220.0,618.54
0.4,0.5,0.1,0.1,True,220.0,618.54
0.4,0.5,0.1,0.2,True,220.0,618.54
0.4,0.5,0.2,0.05,True,220.0,618.54
0.4,0.5,0.2,0.1,True,220.0,618.54
0.4,0.5,0.2,0.2,True,220.0,618.54
0.4,0.5,0.3,0.05,True,220.0,618.54
0.4,0.5,0.3,0.1,True,220.0,618.54
0.4,0.5,0.3,0.2,True,220.0,618.54
0.6,0.1,0.1,0.05,True,220.0,618.54
0.6,0.1,0.1,0.1,True,220.0,618.54
0.6,0.1,0.1,0.2,True,220.0,618.54
0.6,0.1,0.2,0.05,True,220.0,618.54
0.6,0.1,0.2,0.1,True,220.0,618.54
0.6,0.1,0.2,0.2,True,220.0,618.54
0.6,0.1,0.3,0.05,True,220.0,618.54
0.6,0.1,0.3,0.1,True,220.0,618.54
0.6,0.1,0.3,0.2,True,220.0,618.54
0.6,0.3,0.1,0.05,True,220.0,618.54
0.6,0.3,0.1,0.1,True,220.0,618.54
0.6,0.3,0.1,0.2,True,220.0,618.54
0.6,0.3,0.2,0.05,True,220.0,618.54
0.6,0.3,0.2,0.1,True,220.0,618.54
0.6,0.3,0.2,0.2,True,220.0,618.54
0.6,0.3,0.3,0.05,True,220.0,618.54
0.6,0.3,0.3,0.1,True,220.0,618.54
0.6,0.3,0.3,0.2,True,220.0,618.54
0.6,0.5,0.1,0.05,True,220.0,618.54
0.6,0.5,0.1,0.1,True,220.0,618.54
0.6,0.5,0.1,0.2,True,220.0,618.54
0.6,0.5,0.2,0.05,True,220.0,618.54
0.6,0.5,0.2,0.1,True,220.0,618.54
0.6,0.5,0.2,0.2,True,220.0,618.54
0.6,0.5,0.3,0.05,True,220.0,618.54
0.6,0.5,0.3,0.1,True,220.0,618.54
0.6,0.5,0.3,0.2,True,220.0,618.54
